# tauvisc_Myr, Mstar_Msol, FUV_G0, Mdisc_Msol, Rscale_au, alphavisc, Tdisp_Myr
1.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+02,1.600000000000000311e-01,4.000000000000000000e+01,4.269074841227312941e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+03,1.600000000000000311e-01,4.000000000000000000e+01,4.269074841227312941e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.600000000000000089e+00,5.000000000000000000e+03,1.600000000000000311e-01,4.000000000000000000e+01,4.269074841227312941e-03,2.553888524934111892e+00
1.000000000000000000e+00,1.600000000000000089e+00,1.000000000000000000e+04,1.600000000000000311e-01,4.000000000000000000e+01,4.269074841227312941e-03,1.496999736092283095e+00
1.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+01,1.900000000000000022e-01,4.000000000000000000e+01,3.917571750594062499e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+02,1.900000000000000022e-01,4.000000000000000000e+01,3.917571750594062499e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+03,1.900000000000000022e-01,4.000000000000000000e+01,3.917571750594062499e-03,1.000000000000000000e+01
1.000000000000000000e+00,1.899999999999999911e+00,5.000000000000000000e+03,1.900000000000000022e-01,4.000000000000000000e+01,3.917571750594062499e-03,2.793347625724998284e+00
1.000000000000000000e+00,1.899999999999999911e+00,1.000000000000000000e+04,1.900000000000000022e-01,4.000000000000000000e+01,3.917571750594062499e-03,1.634106488602101726e+00
2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+01,1.000000000000000194e-02,4.000000000000000000e+01,8.538149682454625883e-03,3.832286943711272986e+00
2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+02,1.000000000000000194e-02,4.000000000000000000e+01,8.538149682454625883e-03,1.502275483982123072e+00
2.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+03,1.000000000000000194e-02,4.000000000000000000e+01,8.538149682454625883e-03,5.957255874462924483e-01
